"X";"Y";"H";"Rho1";"Rho2";"Rho3";"Rho4";"Rho5";"Rho6";"Gamma"
14.45485;52.36445;101.8;256;315;370;473;453;487;1.17
14.45489;52.36445;101.8;282;336;409;499;436;502;1.17
14.45492;52.36446;101.8;304;330;480;501;471;479;1.17
14.45495;52.36447;101.8;315;401;531;469;483;448;1.17
14.45499;52.36447;101.8;318;479;554;432;501;413;1.17
14.45502;52.36448;101.7;312;477;569;395;359;391;1.19
14.45506;52.36449;101.7;301;366;592;378;387;370;1.21
14.45509;52.3645;101.7;288;409;530;359;383;345;1.22
14.45512;52.36451;101.7;278;390;467;335;375;304;1.23
14.45516;52.36451;101.7;274;408;405;298;271;253;1.22
14.45519;52.36452;101.7;268;321;332;250;260;191;1.2
14.45522;52.36453;101.8;257;287;249;190;182;135;1.18
14.45526;52.36454;101.8;243;213;198;135;140;90;1.18
14.4553;52.36455;101.8;223;163;147;92;85;60;1.19
14.45533;52.36456;101.8;195;139;104;63;57;43;1.21
14.45537;52.36456;101.8;169;122;72;45;52;33;1.22
14.4554;52.36457;101.8;144;81;48;35;33;26;1.24
14.45544;52.36458;101.8;122;83;32;27;27;20;1.24
14.45547;52.36458;101.8;105;63;24;21;22;16;1.23
14.4555;52.36459;101.8;91;44;18;16;18;12;1.23
14.45554;52.3646;101.8;77;48;14;13;12;10;1.24
14.45557;52.36461;101.8;66;39;12;10;11;9;1.24
14.45561;52.36462;101.8;57;36;11;9;9;8;1.26
14.45564;52.36463;101.9;49;23;10;9;7;8;1.29
14.45568;52.36464;101.9;42;23;9;9;8;9;1.31
14.45572;52.36465;102.1;38;23;9;9;9;10;1.34
14.45576;52.36465;102.2;35;23;10;10;9;11;1.35
14.4558;52.36467;102.3;34;26;11;11;10;13;1.35
14.45584;52.36468;102.3;34;22;13;12;13;17;1.34
14.45588;52.36469;102.3;37;26;17;15;16;24;1.31
14.45592;52.36469;102.3;42;36;24;21;21;35;1.28
14.45597;52.3647;102.2;50;43;33;33;30;49;1.25
14.45601;52.36471;102.3;60;59;46;49;52;74;1.22
14.45605;52.36472;102.4;74;67;64;77;77;95;1.19
14.45609;52.36472;102.4;92;94;82;111;97;119;1.17
14.45613;52.36473;102.6;115;108;103;142;147;148;1.16
14.45617;52.36474;102.7;146;163;134;174;165;175;1.14
14.45621;52.36474;102.6;194;206;169;204;186;194;1.14
14.45625;52.36475;102.6;248;254;201;217;205;208;1.14
14.45628;52.36475;102.5;303;239;225;218;190;211;1.13
14.45632;52.36476;102.5;353;272;239;208;234;201;1.12
14.45636;52.36477;102.6;389;300;230;189;208;186;1.11
14.4564;52.36478;102.6;402;296;206;163;140;168;1.11
14.45644;52.36479;102.6;398;276;176;144;153;156;1.11
14.45647;52.36479;102.6;382;271;152;129;155;159;1.12
14.45651;52.3648;102.6;366;255;132;129;161;183;1.12
14.45655;52.36481;102.7;349;219;128;153;153;245;1.12
14.45659;52.36482;102.6;339;240;149;209;208;351;1.11
14.45663;52.36483;102.7;335;258;198;307;294;507;1.09
14.45666;52.36484;102.7;353;277;283;450;495;675;1.06
14.4567;52.36485;102.7;393;355;405;615;665;795;1.03
14.45674;52.36486;102.7;461;394;544;719;784;848;1.01
14.45678;52.36487;102.6;543;547;631;760;923;829;0.98
14.45682;52.36488;102.5;639;593;665;731;839;732;0.96
14.45686;52.36489;102.4;693;768;643;631;658;592;0.93
14.45689;52.36489;102.3;701;565;542;485;566;473;0.89
14.45693;52.3649;102.3;666;623;408;371;455;380;0.84
14.45697;52.36491;102.2;592;435;299;291;302;308;0.81
14.45701;52.36492;102.1;483;350;212;234;239;263;0.8
14.45705;52.36493;102;384;212;145;202;216;237;0.81
14.45709;52.36494;101.9;297;178;123;185;215;214;0.84
14.45713;52.36495;101.7;222;135;112;174;204;184;0.88
14.45716;52.36496;101.5;165;101;112;147;151;156;0.93
14.45721;52.36496;101.2;130;102;112;122;116;121;0.97
14.45725;52.36497;101;106;98;107;94;99;87;0.99
