E,N,H,Rho.1,Rho.2,Rho.3,Rho.4,Rho.6,Gamma
14.05367167,52.40114501,57.26800156,62.92523122,57.42549602,52.69830152,215.8967223,69.63114458,1.261501294
14.05371833,52.40113999,57.46300125,57.59729347,53.11684091,55.08678122,106.2686894,56.50390988,1.252087238
14.053765,52.401135,57.63000107,87.3092506,69.80997595,61.38904296,122.2638545,59.58162707,1.278087079
14.05381167,52.40113001,57.80099869,164.6221311,184.4339845,201.4346619,245.7012678,135.335821,1.271636945
14.05385833,52.40112333,57.97600174,180.3694777,184.2374534,202.5523215,215.4812306,154.9586203,1.222804492
14.053905,52.40111834,58.15800095,192.7505544,163.0251929,153.5877851,204.4839831,123.0804683,1.25893775
14.05395333,52.40111167,58.33599854,210.3959487,213.6859306,200.6643524,452.7662127,167.0256032,1.252128583
14.05400167,52.40110668,58.52299881,184.2899641,216.6794939,244.1514642,452.0935839,225.2644023,1.19802843
14.05405,52.40110165,58.70100021,244.8758662,252.5867717,279.7756521,346.9661222,275.1196155,1.181501401
14.0541,52.40109501,58.86899948,240.3710125,276.4006336,299.5349242,362.8384197,256.7133339,1.237989346
14.05415167,52.40108999,59.04800034,266.1828145,254.0480473,292.3237113,275.3811916,252.3388866,1.261761328
14.05420333,52.40108334,59.26200104,219.4432527,206.6591686,251.2789479,183.4261901,202.4321707,1.254509521
14.05425333,52.40107832,59.39199829,166.1865174,134.4473206,136.5601395,214.1935469,133.2467364,1.26747645
14.05430333,52.40107168,59.50600052,131.0024502,116.6764916,93.32461893,325.826342,112.0551445,1.266027054
14.05435167,52.40106665,59.62900162,62.83896871,67.2509936,57.25140657,324.5869538,117.923204,1.324296332
14.05439833,52.40106166,59.65999985,65.18781528,48.69764588,48.10301652,202.7606561,47.37260422,1.32735152
14.054445,52.40105499,59.68899918,56.03668958,49.08821871,52.48810136,100.1977729,45.46828146,1.311506366
14.05449333,52.40105,59.71699905,53.17031812,36.65004223,55.07801227,30.12131776,29.74918717,1.325693512
14.05454167,52.40104501,59.76900101,50.99442592,43.58582043,41.8570819,91.46409448,132.2794869,1.282091876
14.05459167,52.40104001,59.77700043,52.10980388,54.72821561,46.49637879,290.7628644,56.77832723,1.227531281
14.05464167,52.40103499,59.78699875,85.13536694,42.61312181,36.13134264,223.8712253,42.42698475,1.242413745
14.05469333,52.40103,59.77199936,69.15566402,46.41087863,44.83032731,86.98127503,43.83563395,1.259084003
14.054745,52.40102501,59.76900101,99.7666136,67.6569196,40.05926934,127.4384939,106.171541,1.208020493
14.05479667,52.40101999,59.75899887,145.9013963,125.0788148,91.93098641,279.9274965,97.58251036,1.239782004
14.05484667,52.40101334,59.82500076,130.8271863,36.57900531,29.52499729,1145.900752,2109.30619,1.306096741
14.05489667,52.40100832,59.92100143,165.24166,126.0533398,66.62899945,626.296894,185.4110193,1.266508508
14.054945,52.40100333,60.06399918,167.5806998,91.44669933,81.18128244,89.76033373,59.84899727,1.202021735
14.05499333,52.40099665,60.1230011,246.0924732,159.6094249,113.0580318,803.9170502,232.2619238,1.210060107
14.05504167,52.40099166,60.17300034,320.9655701,182.164739,142.5164885,204.0523102,93.9171455,1.219677295
14.05508833,52.40098667,60.2159996,238.8473358,154.7342365,127.5151386,452.6169057,208.3044548,1.193607764
14.055135,52.40098168,60.27999878,314.7591516,211.7979044,152.0763051,653.4995899,187.6547491,1.167106854
14.05518167,52.40097666,60.35200119,262.5267237,167.1729953,122.070626,571.1482391,170.0287865,1.181608875
14.05522833,52.40097167,60.43500137,304.2015899,202.1891833,150.3797218,161.4413112,92.57693493,1.210719684
14.05527667,52.40096499,60.49000168,176.3764487,125.6835619,107.2743462,173.5150695,84.20263254,1.214367731
14.055325,52.40096,60.52799988,228.404304,131.0823392,120.9476182,283.1641576,111.943421,1.209105496
14.05537334,52.40095501,60.56900024,288.0964658,195.3031139,161.9617125,475.1261578,146.7576168,1.187603433
14.05542,52.40094999,60.6269989,177.4017728,144.6209173,154.5255617,687.1868796,156.9742549,1.169150702
14.05546833,52.400945,60.65800095,241.4465681,200.4916298,165.4136025,211.7718389,98.92997062,1.159254825
14.055515,52.40094001,60.70399857,185.9643715,113.1095739,112.7139548,193.5326198,101.6339371,1.181997977
14.05556167,52.40093501,60.73199844,188.1656376,133.1806833,100.3134119,399.1287088,132.3836053,1.229441583
14.05560667,52.40092999,60.75099945,190.117013,121.4650041,101.641679,160.1046954,89.74140188,1.17784382
14.055655,52.40092335,60.79000092,167.787048,128.739277,115.6364922,164.0858532,84.19095552,1.15215549
14.05570333,52.40091833,60.80899811,114.1087607,88.00383998,88.4837052,114.6339929,75.1181422,1.212563983
